Eload,G,T,Vw
0.36,225.75084803675912,-3.1,8.700000000000001
0.36,768.5916917916917,-3.0,8.4
0.36,712.2055384897908,-2.8000000000000003,8.0
0.2,592.2883268281785,-2.6,7.7
0.04,404.94174369627495,-2.6,7.300000000000001
0.04,146.03269498843096,-2.8000000000000003,7.1000000000000005
0.04,0.0,-3.0,7.1000000000000005
0.04,0.0,-3.1,7.1000000000000005
0.04,0.0,-3.1,6.9
0.04,0.0,-3.1,6.6000000000000005
0.04,0.0,-3.2,6.2
0.04,0.0,-3.4000000000000004,5.6000000000000005
0.04,0.0,-3.6,5.2
0.04,0.0,-3.8,5.0
0.04,0.0,-4.0,4.6000000000000005
0.04,0.0,-4.3,4.1000000000000005
0.04,0.0,-4.5,3.6
0.04,0.0,-4.7,3.1
0.04,0.0,-5.0,2.6
0.04,0.0,-5.300000000000001,2.2
0.04,0.0,-5.300000000000001,1.9
0.04,167.39408410670646,-4.5,1.9
0.2,435.8412230904569,-2.9000000000000004,2.5
0.36,100.56543225447287,-1.9,3.1
0.36,118.33453865062356,-1.5,3.5
0.36,157.03254500070062,-1.2000000000000002,4.0
0.36,94.56077414428839,-1.1,4.3
0.2,71.58338977277907,-1.3,4.3
0.04,31.814839899012913,-1.7000000000000002,4.0
0.04,157.54652455572392,-2.0,3.7
0.04,0.0,-1.8,3.7
0.04,0.0,-1.7000000000000002,3.8
0.04,0.0,-1.5,4.4
0.04,0.0,-1.4,4.4
0.04,0.0,-1.4,4.5
0.04,0.0,-1.3,4.800000000000001
0.04,0.0,-1.2000000000000002,4.800000000000001
0.0,0.0,-1.2000000000000002,4.9
0.0,0.0,-1.1,4.9
0.0,0.0,-1.0,4.6000000000000005
0.0,0.0,-1.0,4.6000000000000005
0.0,0.0,-1.0,4.800000000000001
0.0,0.0,-1.1,4.7
0.0,0.0,-1.1,4.9
0.0,0.0,-0.8,5.300000000000001
0.0,15.813230479632251,-0.3,5.4
0.0,40.411589003504645,0.2,5.5
0.0,25.476871328296404,0.6000000000000001,5.6000000000000005
0.0,43.04712741677668,0.8,5.5
0.0,23.719845719448372,0.8,5.4
0.0,69.4025115494971,0.8,5.2
0.0,49.196717047744784,0.7000000000000001,4.800000000000001
0.0,29.869435350416474,0.5,4.3
0.0,105.93341572793761,0.1,4.0
0.0,0.0,-0.2,3.8
0.0,0.0,-0.3,3.8
0.0,0.0,-0.5,4.0
0.0,0.0,-1.1,3.8
0.0,0.0,-2.0,3.9
0.0,0.0,-3.1,4.2
0.0,0.0,-4.800000000000001,3.8
0.0,0.0,-6.7,3.1
0.0,0.0,-8.3,2.6
0.0,0.0,-9.0,2.3000000000000003
0.0,0.0,-9.1,1.9
0.0,0.0,-8.8,1.5
0.0,0.0,-8.3,1.0
0.0,0.0,-8.0,0.6000000000000001
0.0,0.0,-7.7,0.7000000000000001
0.0,158.00441607722593,-6.9,1.4
0.0,427.9389792520403,-4.6000000000000005,2.4000000000000004
