Eload,G,T,Vw
1.458262622,0.0,12.2,2.2
1.181615917,0.0,12.4,2.0
0.906894026,0.0,12.6,1.7000000000000002
0.645612526,0.0,12.7,1.5
0.546704479,0.0,12.6,1.5
0.510755937,0.0,12.3,1.6
0.506776687,0.0,12.0,1.5
0.507141534,0.0,11.8,1.4
0.558224389,0.0,11.7,1.2000000000000002
0.764780973,0.0,11.8,1.1
1.034862667,92.29699032386374,12.8,1.2000000000000002
0.973903174,138.2968863667552,14.4,1.2000000000000002
0.823458462,598.2763275126628,16.0,1.2000000000000002
0.816410664,781.5835457479634,17.3,1.5
0.829634338,840.6150161183405,18.2,2.3000000000000003
0.814788399,824.9655613127419,18.4,3.1
0.792035895,777.5800145379285,17.8,3.7
0.792231247,613.6649072487501,16.7,3.8
0.854486111,393.0268695191663,16.0,3.6
1.083675159,140.16149256813432,12.7,1.7000000000000002
1.50275718,0.0,11.5,1.3
1.777478196,0.0,11.2,1.5
1.728572974,0.0,10.9,1.7000000000000002
1.600127698,0.0,10.6,1.7000000000000002
1.458262622,0.0,10.3,1.3
1.181615917,0.0,10.1,1.0
0.906894026,0.0,9.9,1.0
0.642756161,0.0,9.8,1.2000000000000002
0.543608542,0.0,10.0,1.6
0.506745503,0.0,10.3,1.8
0.499985074,0.0,10.6,1.7000000000000002
0.501037478,0.0,10.5,1.6
0.552160368,0.0,10.3,1.3
0.742128714,0.0,10.5,1.0
1.025243131,63.959711959904716,11.4,0.9
0.966804303,183.94774673890376,12.9,1.0
0.834086323,606.0746996471172,14.4,1.1
0.840583303,760.9468797527323,15.7,1.5
0.842036768,826.2578737063518,16.400000000000002,2.0
0.814788399,445.6199138130465,16.7,2.3000000000000003
0.792035895,748.285752152496,16.7,2.4000000000000004
0.792231247,590.2536172812972,16.2,2.5
0.854486111,375.83362595857307,15.8,2.5
1.083675159,51.854216637532865,13.5,1.9
1.50275718,0.0,12.5,1.5
1.777478196,0.0,12.2,1.1
1.728572974,0.0,12.0,0.8
1.600127698,0.0,11.9,0.7000000000000001
1.458262622,0.0,11.7,0.6000000000000001
1.181615917,0.0,11.5,0.8
0.913897856,0.0,11.4,1.3
0.666260601,0.0,11.6,2.3000000000000003
0.565965515,0.0,11.8,3.0
0.530624213,0.0,12.1,1.9
0.520893306,0.0,12.1,0.8
0.525533622,0.0,12.2,0.9
0.578911994,0.0,12.5,1.7000000000000002
0.77616523,0.0,12.8,2.6
1.063171025,20.743576938087735,13.3,3.7
1.008637688,7.7788413517829,13.9,4.7
0.871884667,19.87926123233408,14.1,5.4
0.86443534,129.64735586304832,14.1,5.800000000000001
0.882123098,146.93366997812143,14.4,6.0
0.862598906,256.5545085110832,14.8,6.1000000000000005
0.835623927,194.03454656445658,15.1,6.1000000000000005
0.831356819,309.4145176083486,14.9,6.0
0.891545084,153.51170381899868,14.7,5.9
1.119593078,69.58358671855538,13.2,4.7
1.53810911,0.0,12.7,4.1000000000000005
1.811788512,0.0,12.5,3.8
1.762817728,0.0,12.2,3.7
1.634983069,0.0,12.1,3.4000000000000004
1.49386948,0.0,11.9,2.6
1.215875451,0.0,11.8,2.0
0.94289884,0.0,11.8,1.6
0.680966287,0.0,11.9,1.5
0.582391127,0.0,11.9,1.6
0.547727093,0.0,11.8,1.7000000000000002
0.539195503,0.0,11.8,1.6
0.539571157,0.0,11.9,1.5
0.590785217,0.0,11.9,1.3
0.786809971,0.0,11.9,0.9
1.069359205,56.1284967416316,12.3,0.7000000000000001
1.002801219,143.92351209099996,13.3,0.7000000000000001
0.86170144,276.2073998206408,14.5,1.1
0.864206149,406.13864616622885,15.5,1.8
0.882123098,437.72370490267883,16.1,2.3000000000000003
0.862598906,574.0860237105101,16.3,2.6
0.835623927,694.5742196916756,16.1,2.7
0.831356819,413.1201281470142,15.7,2.4000000000000004
0.891545084,233.0396533533762,15.4,2.1
1.119593078,153.07223818970485,13.0,1.3
1.53810911,0.0,12.0,1.3
1.811788512,0.0,11.5,1.0
1.762817728,0.0,11.2,0.7000000000000001
1.634983069,0.0,11.1,0.6000000000000001
1.49386948,0.0,11.2,0.6000000000000001
1.209909129,0.0,11.3,0.9
0.922428871,0.0,11.2,0.7000000000000001
0.645431303,0.0,11.3,0.5
0.551745443,0.0,11.4,0.7000000000000001
0.517471889,0.0,11.5,0.7000000000000001
0.517885116,0.0,11.6,0.9
0.517596874,0.0,11.4,1.2000000000000002
0.570149934,0.0,11.3,1.7000000000000002
0.7868124,0.0,11.6,2.1
1.041239383,35.436943935899876,12.7,2.9000000000000004
0.9606126,21.607892643841392,13.4,4.1000000000000005
0.816670382,14.693366997812145,13.4,5.2
0.81328992,199.98865696297156,13.4,6.1000000000000005
0.829634338,158.16786132060454,13.4,6.4
0.814788399,23.3365240553487,13.5,6.300000000000001
0.792035895,23.3365240553487,13.9,6.0
0.792231247,191.93932532970246,14.4,5.9
0.854486111,126.87670441699332,14.5,6.1000000000000005
1.083675159,140.16873914034943,13.6,6.0
1.50275718,0.0,13.0,5.800000000000001
1.777478196,0.0,12.8,5.5
1.728572974,0.0,12.7,5.1000000000000005
