Eload,G,T,Vw
0.86662153,336.70659155445946,-14.1,10
0.851857657,722.7972503592343,-13.5,10
0.833234147,690.1234625736994,-12.9,10
0.804152964,751.8239867958223,-12.6,10
0.805449235,571.2946792081829,-13.0,10
0.872760244,317.98782827012707,-14.6,10
1.102468659,0.0,-15.7,10
1.538332606,0.0,-17.1,10
1.794568666,0.0,-17.900000000000002,10
1.743572019,0.0,-18.5,10
1.620872525,0.0,-18.9,10
1.488036823,0.0,-19.0,10
1.219634815,0.0,-19.200000000000003,10
0.953504417,0.0,-19.4,10
0.691771365,0.0,-19.700000000000003,10
0.589464218,0.0,-19.8,10
0.551812437,0.0,-19.8,10
0.543745391,0.0,-19.700000000000003,10
0.545954317,0.0,-19.4,10
0.593937785,0.0,-19.200000000000003,10
0.784191897,0.0,-18.8,10
1.09268672,12.16407827294689,-17.2,10
1.019866937,403.9387094496703,-14.4,10
0.88154067,452.7923316960976,-11.4,10
0.896325068,543.4442699379754,-8.6,10
0.881158081,494.5184720879265,-6.6000000000000005,10
0.865713478,840.1011837537858,-5.4,10
0.834029005,743.1654112805461,-5.2,10
0.83295094,564.9348627752921,-6.2,10
0.896381335,312.87934091911904,-8.8,10
1.122630935,0.0,-10.5,10
1.553346752,0.0,-11.2,10
1.807083786,0.0,-11.6,10
1.752755243,0.0,-12.5,10
1.624432168,0.0,-13.2,10
1.485767225,0.0,-13.3,10
1.214195165,0.0,-13.4,10
0.945919861,0.0,-13.6,10
0.687988343,0.0,-13.6,10
0.582922601,0.0,-13.7,10
0.543119616,0.0,-13.8,10
0.530427613,0.0,-13.9,10
0.530699831,0.0,-14.2,10
0.58115604,0.0,-14.6,10
0.77497589,0.0,-14.8,10
1.089836902,12.912098637517726,-14.3,10
1.031657207,379.16320266644203,-12.7,10
0.904578563,612.2013548663257,-10.5,10
0.919672411,768.5397676458005,-8.1,10
0.922030395,853.7037011828421,-5.9,10
0.898844237,842.7213047993454,-4.5,10
0.869688038,746.3905644307273,-4.1000000000000005,10
0.863323483,568.9740035015789,-4.9,10
0.92189977,319.25285764230006,-7.4,10
1.147725038,0.0,-9.1,10
1.582912409,0.0,-10.4,10
1.835165471,0.0,-11.2,10
1.781722323,0.0,-11.6,10
1.656203324,0.0,-11.5,10
1.519024973,0.0,-11.4,10
1.240103528,0.0,-11.4,10
0.959108976,0.0,-11.3,10
0.688906959,0.0,-10.9,10
0.586463579,0.0,-10.5,10
0.553988752,0.0,-10.1,10
0.547544327,0.0,-9.8,10
0.551159964,0.0,-9.5,10
0.608311886,0.0,-9.3,10
0.837568506,0.0,-9.0,10
1.10692657,8.87016020454324,-7.7,10
1.043837685,379.8878598261649,-4.800000000000001,10
0.897524117,602.5892307224683,-1.6,10
0.891634077,755.9475225199607,1.0,10
0.882123098,829.635945672698,2.6,10
0.862598906,817.7087129555952,3.3000000000000003,10
0.835623927,723.7479784186468,3.1,10
0.831356819,382.7385452641342,1.4,10
0.891545084,126.34428188136253,-1.5,10
1.119593078,0.0,-3.0,10
1.53810911,0.0,-5.1000000000000005,10
1.811788512,0.0,-6.4,10
1.762817728,0.0,-7.4,10
1.634983069,0.0,-8.0,10
1.494142682,0.0,-8.4,10
1.220824331,0.0,-8.5,10
0.948186382,0.0,-8.200000000000001,10
0.678844453,0.0,-7.800000000000001,10
0.582376808,0.0,-7.4,10
0.548343852,0.0,-7.0,10
0.541983856,0.0,-6.1000000000000005,10
0.549445561,0.0,-5.4,10
0.599981961,0.0,-5.300000000000001,10
0.790564221,0.0,-5.1000000000000005,10
1.069180461,8.824373656687724,-3.7,10
0.995180557,66.56827273764755,-0.9,10
0.835854797,311.90119820242523,2.7,10
0.827707158,247.40167934353616,6.0,10
0.829634338,248.91268207086918,8.200000000000001,10
0.814788399,403.6285922111874,9.4,10
0.792035895,92.65592339522112,9.0,10
0.792231247,80.30180027585828,6.800000000000001,10
0.854486111,32.650182529744576,4.0,10
1.083675159,0.0,2.7,10
1.50275718,0.0,1.7000000000000002,10
1.777478196,0.0,1.8,10
1.728572974,0.0,1.9,10
1.600127698,0.0,2.2,10
1.458262622,0.0,2.3000000000000003,10
1.181615917,0.0,1.9,10
0.919437359,0.0,1.1,10
0.667138154,0.0,-0.2,10
0.571711098,0.0,-1.6,10
0.539670051,0.0,-3.0,10
0.536722948,0.0,-4.0,10
0.543490024,0.0,-4.7,10
0.597525277,0.0,-5.2,10
0.819237704,0.0,-5.4,10
1.074215424,109.66284481593372,-4.7,10
0.99926171,54.84430319032429,-3.1,10
0.839233052,232.74678232907314,-1.3,10
0.837360264,363.32502907393325,0.4,10
0.830197022,242.73042506939984,2.0,10
0.814788399,502.7884662363707,3.4000000000000004,10
0.792035895,214.1345011082748,4.3,10
0.792231247,86.15067744426432,3.5,10
0.854486111,23.737571424188683,1.9,10
1.083675159,0.0,1.1,10
1.503080219,0.0,0.8,10
1.777478196,0.0,0.4,10
1.728572974,0.0,0.5,10
1.600127698,0.0,0.7000000000000001,10
1.458262622,0.0,0.3,10
1.192073911,0.0,-0.5,10
0.932446652,0.0,-2.0,10
0.677700612,0.0,-4.6000000000000005,10
0.58261471,0.0,-7.800000000000001,10
0.552051579,0.0,-10.6,10
0.547038201,0.0,-12.5,10
0.546893651,0.0,-13.5,10
0.601977722,0.0,-14.1,10
0.793641854,0.0,-14.5,10
1.076109989,3.391081632026955,-14.7,10
0.998717531,46.62737244037062,-14.5,10
0.838076171,56.80061733645149,-14.0,10
0.821381018,142.27105329670647,-13.3,10
0.829634338,107.66684181685581,-12.7,10
0.814788399,111.9056938568895,-12.6,10
0.792035895,74.603795904593,-13.0,10
0.792231247,56.80061733645149,-13.5,10
0.854486111,35.60635713628302,-14.0,10
1.083675159,0.0,-14.2,10
1.50275718,0.0,-14.2,10
1.777478196,0.0,-14.1,10
1.728572974,0.0,-13.9,10
1.600127698,0.0,-13.4,10
1.458262622,0.0,-13.0,10
1.181615917,0.0,-12.6,10
0.906894026,0.0,-12.3,10
0.645284368,0.0,-12.3,10
0.553797994,0.0,-12.5,10
0.521431541,0.0,-12.9,10
0.51706374,0.0,-13.4,10
0.525191817,0.0,-13.6,10
0.579128552,0.0,-13.7,10
0.769832755,0.0,-13.7,10
1.052098221,11.531208265906214,-12.7,10
0.991235196,112.05577172820203,-10.7,10
0.848785084,480.3562331298872,-8.9,10
0.842593174,781.6740334419206,-7.7,10
0.829634338,858.2655982389807,-6.800000000000001,10
0.814788399,661.7564767298682,-6.2,10
0.792035895,423.06711251962014,-6.300000000000001,10
0.792231247,199.5689458476655,-6.800000000000001,10
0.854486111,41.689752961353236,-7.6,10
1.083675159,0.0,-8.1,10
1.50275718,0.0,-9.0,10
1.777478196,0.0,-9.3,10
1.728572974,0.0,-9.3,10
1.600127698,0.0,-9.2,10
1.458262622,0.0,-9.0,10
1.181615917,0.0,-8.8,10
0.907130964,0.0,-8.8,10
0.648362125,0.0,-8.8,10
0.551893333,0.0,-8.8,10
0.520783879,0.0,-8.9,10
0.517793483,0.0,-9.1,10
0.521252483,0.0,-9.4,10
0.574531701,0.0,-9.8,10
0.79454343,0.0,-10.0,10
1.059113452,83.19475139048586,-9.4,10
0.989366755,70.58731788008951,-7.4,10
0.832218013,532.2555953874607,-5.0,10
0.823160651,724.9713822488776,-2.6,10
0.829634338,679.0217363314997,-0.7000000000000001,10
0.814788399,638.6383751022387,0.6000000000000001,10
0.792035895,551.8440589673829,1.1,10
0.792231247,406.08296422185356,0.4,10
0.854486111,324.23665256416956,-1.4,10
1.083675159,0.0,-2.5,10
1.50275718,0.0,-3.3000000000000003,10
1.777478196,0.0,-3.6,10
1.728572974,0.0,-3.9,10
1.600127698,0.0,-4.1000000000000005,10
1.458262622,0.0,-4.2,10
1.181615917,0.0,-4.3,10
0.910028924,0.0,-4.3,10
0.659280514,0.0,-4.1000000000000005,10
0.560130117,0.0,-3.7,10
0.525573251,0.0,-3.4000000000000004,10
0.521197657,0.0,-3.2,10
0.524367458,0.0,-3.1,10
0.577163537,0.0,-3.3000000000000003,10
0.773877625,0.0,-3.9,10
1.065751964,7.930162607284677,-3.6,10
1.009442091,381.45335088287294,-1.9,10
0.865349574,356.60703991833617,0.2,10
0.864206149,767.7270202547437,2.2,10
0.882123098,849.8789004426424,3.6,10
0.862598906,842.7113879131107,4.3,10
0.835623927,751.145530068473,4.3,10
0.831356819,579.0833377532169,2.7,10
0.891545084,336.68844596016135,-0.3,10
1.119593078,0.0,-1.9,10
1.53810911,0.0,-2.4000000000000004,10
1.811788512,0.0,-2.6,10
1.762817728,0.0,-3.1,10
1.634983069,0.0,-3.8,10
1.49386948,0.0,-4.2,10
1.209909129,0.0,-4.6000000000000005,10
0.922428871,0.0,-5.0,10
