Eload,Eload_eh,Eload_hp,G,T,Vw,Cbuy,EV_P
0.994153065,0.994153065,0,0.0,8.8,2.3000000000000003,0.36,1
0.730109065,0.730109065,0,0.0,8.8,2.1,0.35,1
0.629263218,0.629263218,0,0.0,8.8,2.1,0.35,1
0.593487781,0.593487781,0,0.0,8.8,2.2,0.35,1
0.58618416,0.58618416,0,0.0,9.1,2.6,0.35,1
0.588319436,0.588319436,0,0.0,9.6,3.1,0.35,1
0.639405462,0.639405462,0,0.0,9.8,3.6,0.35,1
0.849595313,0.849595313,0,0.0,10.1,4.3,0.35,1
1.132043805,1.132043805,0,1.6913632505473926,10.3,5.300000000000001,0.35,1
1.073462669,1.073462669,0,16.06795088020023,10.7,6.2,0.35,0
0.914569427,0.914569427,0,35.29061305085889,11.0,7.0,0.35,0
0.928363998,0.928363998,0,32.13590176040046,11.4,7.300000000000001,0.35,0
0.923501713,0.923501713,0,39.74703638786372,11.8,7.1000000000000005,0.35,0
0.881836732,0.881836732,0,43.9754445142322,12.2,6.6000000000000005,0.35,0
0.844159742,0.844159742,0,11.839542753831749,12.5,6.1000000000000005,0.35,0
0.835085032,0.835085032,0,6.76545300218957,12.7,5.800000000000001,0.35,0
0.898260029,0.898260029,0,25.37044875821089,12.8,5.800000000000001,0.36,0
1.137087859,1.137087859,0,11.839542753831749,12.8,5.7,0.38,0
1.587277504,1.587277504,0,0.0,13.0,5.7,0.38,1
1.85094088,1.85094088,0,0.0,13.2,5.6000000000000005,0.38,1
1.801966168,1.801966168,0,0.0,13.3,5.1000000000000005,0.38,1
1.67833787,1.67833787,0,0.0,13.2,4.5,0.38,1
1.540826686,1.540826686,0,0.0,12.6,4.2,0.36,1
1.262511951,1.262511951,0,0.0,11.8,3.9,0.36,1
0.99386271,0.99386271,0,0.0,11.1,3.5,0.36,1
0.731784672,0.731784672,0,0.0,10.5,2.9000000000000004,0.35,1
0.624485935,0.624485935,0,0.0,10.2,2.4000000000000004,0.35,1
0.591425272,0.591425272,0,0.0,10.1,2.2,0.35,1
0.582306542,0.582306542,0,0.0,10.0,1.8,0.35,1
0.583178735,0.583178735,0,0.0,9.9,1.6,0.35,1
0.63279093,0.63279093,0,0.0,9.8,1.4,0.35,1
0.831289576,0.831289576,0,0.0,9.6,1.4,0.35,1
1.113902047,1.113902047,0,1.6913632505473926,10.2,1.7000000000000002,0.35,1
1.087259486,1.087259486,0,40.60154177553221,11.4,2.0,0.35,0
0.954794569,0.954794569,0,149.7438964240367,12.6,2.3000000000000003,0.35,0
0.983173251,0.983173251,0,294.8577083793805,13.7,2.3000000000000003,0.35,0
0.986220093,0.986220093,0,266.84159512045477,14.5,2.3000000000000003,0.35,0
0.95263741,0.95263741,0,362.2212734346597,15.0,2.3000000000000003,0.35,0
