Ppv,Pdg,Pch,Pdch,Pdch_max,Pch_max,Eb,SOC,Pbuy,Psell,Eload,ENS,Edump,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.7600818040861966,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3539966270772512,0.0,1.083675159,0.0,0.0,0.7600818040861966,0.0638,0.404,0.7296785319227488,94.53125253986474,17.7,1.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.50275718,0.0,1.50275718,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.6,1.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.777478196,0.0,1.777478196,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.0,1.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.728572974,0.0,1.728572974,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.6,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.600127698,0.0,1.600127698,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.4,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.458262622,0.0,1.458262622,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.5,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.181615917,0.0,1.181615917,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.6,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.915058797,0.0,0.915058797,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.7,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.654877307,0.0,0.654877307,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.9,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.553906869,0.0,0.553906869,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.2,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.516873082,0.0,0.516873082,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.400000000000002,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.511321182,0.0,0.511321182,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.5,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5122299,0.0,0.5122299,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.5,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.563539401,0.0,0.563539401,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.3,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.778019778,0.0,0.778019778,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.6,1.4
0.5873888777776789,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4749574853334283,0.0,1.038850808,0.0,0.0,0.5873888777776789,0.0638,0.404,0.5638933226665718,73.05216112398901,18.2,1.6
1.371891819143315,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3471149613775823,0.969901185,0.0,4.0078453652962945e-17,0.969901185,0.0638,0.404,0.969901185,172.7974959459723,20.1,1.9
4.776560702508086,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.7673184324077624,0.818179842,0.0,7.899243206182098e-17,0.818179842,0.0638,0.404,0.818179842,624.963815694869,21.700000000000003,1.9
5.76268873129143,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.7151075170397725,0.817073665,0.0,3.2817522099678947e-16,0.817073665,0.0638,0.404,0.817073665,766.0522384527192,23.3,1.7000000000000002
4.025748143379918,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.035083879644721,0.829634338,0.0,1.7672092612812954e-16,0.829634338,0.0638,0.404,0.829634338,527.5026873442696,24.5,1.5
6.168857273324218,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.10731458339125,0.814788399,2.220446049250313e-16,-4.3232465690309917e-16,0.814788399,0.0638,0.404,0.814788399,828.5925222951197,25.0,1.6
5.557795625497571,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.5434479054776675,0.792035895,0.0,4.065087599692571e-16,0.792035895,0.0638,0.404,0.792035895,741.4552719413392,25.0,1.7000000000000002
2.455221912465091,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.5647817889664872,0.792231247,1.1102230246251565e-16,-1.7604484669906707e-16,0.792231247,0.0638,0.404,0.792231247,316.19951850665615,24.0,1.7000000000000002
2.7856913183093024,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.8197775545769301,0.854486111,0.0,-9.896763651473259e-17,0.854486111,0.0638,0.404,0.854486111,359.00282211819604,23.200000000000003,1.7000000000000002
0.7664027175380452,0.0,0.0,0.0,0.0,0.0,0.0,0,0.34792855016347657,0.0,1.083675159,0.0,0.0,0.7664027175380452,0.0638,0.404,0.7357466088365234,95.69355488837462,19.0,1.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.508275362,0.0,1.508275362,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,17.5,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.777478196,0.0,1.777478196,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.7,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.728572974,0.0,1.728572974,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.3,1.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.606209974,0.0,1.606209974,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.2,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.472710969,0.0,1.472710969,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.1,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.211220761,0.0,1.211220761,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.0,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.949819737,0.0,0.949819737,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.0,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.691365816,0.0,0.691365816,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.1,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.595252213,0.0,0.595252213,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.2,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.559951448,0.0,0.559951448,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.2,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.552660186,0.0,0.552660186,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.1,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.560349238,0.0,0.560349238,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.0,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.610933481,0.0,0.610933481,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.9,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.801580731,0.0,0.801580731,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.3,1.4
1.33405789248929,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.20443737478971843,1.076258202,0.0,7.694972152843284e-17,1.076258202,0.0638,0.404,1.076258202,167.0101528602929,18.2,2.0
3.347746955402871,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.209471487186756,1.00436559,0.0,4.093625152979744e-17,1.00436559,0.0638,0.404,1.00436559,430.5103022948896,20.8,2.8000000000000003
4.908488312108556,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.8604021666242136,0.851746613,0.0,4.651039264974857e-16,0.851746613,0.0638,0.404,0.851746613,645.2495638681651,22.700000000000003,3.0
5.949802919230062,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.873309991460859,0.838500811,0.0,-1.7585232538515292e-16,0.838500811,0.0638,0.404,0.838500811,793.9141566693618,23.8,2.8000000000000003
6.420837103966255,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.3343692818076045,0.829634338,0.0,-5.047827414608203e-17,0.829634338,0.0638,0.404,0.829634338,863.6947469833551,24.6,2.4000000000000004
6.343058036896539,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.274547316420677,0.814788399,0.0,-8.324214337905784e-17,0.814788399,0.0638,0.404,0.814788399,853.6721588349529,25.0,2.1
5.737995408681968,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.716439697334689,0.792035895,0.0,4.356339144109012e-16,0.792035895,0.0638,0.404,0.792035895,767.0185147692729,25.0,2.0
4.574388654170568,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5991818610037454,0.792231247,0.0,-1.269877946502109e-16,0.792231247,0.0638,0.404,0.792231247,601.8237232234703,24.0,1.7000000000000002
2.883986869842687,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9141412840489793,0.854486111,0.0,9.293945631431601e-17,0.854486111,0.0638,0.404,0.854486111,372.0270822835321,23.200000000000003,1.5
0.8344543621065201,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2825989713777407,0.0,1.083675159,0.0,0.0,0.8344543621065201,0.0638,0.404,0.8010761876222593,104.28438327591047,19.1,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.502991339,0.0,1.502991339,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,17.7,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.777478196,0.0,1.777478196,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,17.1,1.7000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.728572974,0.0,1.728572974,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.900000000000002,1.7000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.605278907,0.0,1.605278907,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.7,1.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.4752818,0.0,1.4752818,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.8,2.0
